rank,skill,platform,vendor,source_skillssh,slug_clawhub,url,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
85,qidianxiaoshuoxiezuo,skillhub-cn,北京达维时代科技有限公司,,,,single,起点长篇爽文创作助手，覆盖立项合规、选题雷达、大纲与卷级规划、设定 Bible 一致性保障、黄金三章与逐章生成、量化质检（含升级版多维度「去 AI 味」检测）、九维审查、数据复盘与断点续写，并支持两种产出模式：辅助脚手架与直出成稿。当用户明确要写起点小说、起点连载、起点平台网文，或按起点付费追订逻辑创作高数据小说时触发；非起点平台（番茄/晋江/公众号/通用写作）不触发，改用通用流程。,起点长篇爽文创作助手，覆盖立项合规、选题雷达、大纲与卷级规划、设定 Bible 一致性保障、黄金三章与逐章生成、量化质检（含升级版多维度「去 AI 味」检测）、九维审查、数据复盘与断点续写，并支持两种产出模式：辅助脚手架与直出成稿。当用户明确要写起点小说、起点连载、起点平台网文，或按起点付费追订逻辑创作高数据小说时触发；非起点平台（番茄/晋江/公众号/通用写作）不触发，改用通用流程。,24,,,25706,0.646
86,stock-theme-radar,skillhub-cn,上海劳希科技有限公司,,,,single,输入一个题材名称或一条新闻/事件/截图，自动识别模式并输出结构化结果：给题材出「追踪卡」（定义/驱动/关联标的/来源/动态/建议），给事件出「映射表」（事件→题材→个股，带关联概率、时间维度与证据强度）。全程区分硬逻辑与题材炒作，覆盖 A 股，支持港股/美股题材。所有关键事实标注来源类型，不臆造数据，不构成投资建议。,输入一个题材名称或一条新闻/事件/截图，自动识别模式并输出结构化结果：给题材出「追踪卡」（定义/驱动/关联标的/来源/动态/建议），给事件出「映射表」（事件→题材→个股，带关联概率、时间维度与证据强度）。全程区分硬逻辑与题材炒作，覆盖 A 股，支持港股/美股题材。所有关键事实标注来源类型，不臆造数据，不构成投资建议。,27,,,25212,0.633
87,is-this-photo-real,skills.sh,useosint,useosint/skills,,https://www.skills.sh/useosint/skills/is-this-photo-real,single,,,27,58175,,,0.626
88,investigate-without-getting-made,skills.sh,useosint,useosint/skills,,https://www.skills.sh/useosint/skills/investigate-without-getting-made,single,,,27,58093,,,0.624
89,thesis-writing-companion,skillhub-cn,上海劳希科技有限公司,,,,single,论文写作全流程助手。覆盖从选题、开题、文献综述、研究方法、写作、修改润色、查重与 AIGC 检测、答辩到发表的完整论文生命周期；支持多语言（中文 / English / 日本語 / 한국어 / Français / Deutsch / Español / Português / Русский / العربية / Italiano）与 36 个学科，零配置、无需任何 外部密钥或付费接口 即可使,论文写作全流程助手。覆盖从选题、开题、文献综述、研究方法、写作、修改润色、查重与 AIGC 检测、答辩到发表的完整论文生命周期；支持多语言（中文 / English / 日本語 / 한국어 / Français / Deutsch / Español / Português / Русский / العربية / Italiano）与 36 个学科，零配置、无需任何 外部密钥或付费接口 即可使,26,,,24242,0.62
90,wechat-writer-pro,skillhub-cn,北京达维时代科技有限公司,,,,single,公众号爆款写作台。覆盖选题、风格选配、结构骨架、正文写作、去AI味、排版、配图与封面、SEO与增长变现的全流程内容生产系统。内置多套写作风格与多类内容模板，支持「投喂素材重组」与「给定命题创作」两种模式，开箱即用，无需任何外部密钥或配置。,公众号爆款写作台。覆盖选题、风格选配、结构骨架、正文写作、去AI味、排版、配图与封面、SEO与增长变现的全流程内容生产系统。内置多套写作风格与多类内容模板，支持「投喂素材重组」与「给定命题创作」两种模式，开箱即用，无需任何外部密钥或配置。,24,,,24148,0.618
91,luhe-paper-writer,skillhub-cn,,,,,single,露禾论文写作助手：一句话生成引用可溯源、不编造的专业学术论文，按国标 GB/T 7714 插入真实文献引用，中英文 3000/5000/8000 字，一键导出 Word。说「写论文 / 帮我写论文」即可使用。,露禾论文写作助手：论文写作帮手，一句话免费生成专业学术论文，依托千万级真实学术文献库（持续更新），「引用可溯源验真、不编造」，自动按 GB/T 7714 规范插入真实文献引用与参考文献，避免AI幻觉，支持中英文 3000/5000/8000 字，一键导出 Word。覆盖教研论文、课题研究、教学反思、毕业论文、文献综述、期刊论文写作、学术写作等场景。免费选题推荐，支持自定义参考文献。当用户说「写论文,2,,,24064,0.617
92,zhongguozhuanli-zhuanxiecailiaojiedushenchazhengce,skillhub-cn,北京达维时代科技有限公司,,,,single,交底书撰写、软件著作权材料、专利通俗解读、多Agent并行审查、审查答复RAG、政策动向嗅探，组成完整专利工作链。当用户需要写专利交底书、申请软著、读懂专利、审查专利申请文件、答复审查意见、追踪政策动向时使用。,交底书撰写、软件著作权材料、专利通俗解读、多Agent并行审查、审查答复RAG、政策动向嗅探，组成完整专利工作链。当用户需要写专利交底书、申请软著、读懂专利、审查专利申请文件、答复审查意见、追踪政策动向时使用。,25,,,23981,0.616
93,what-leaked-about-you,skills.sh,useosint,useosint/skills,,https://www.skills.sh/useosint/skills/what-leaked-about-you,single,,,27,57678,,,0.615
94,adaptive-presentation-studio,skillhub-cn,,,,,single,当用户需要把 Word、Excel、CSV、PDF、PPT、Markdown、TXT、JSON 或图片做成演示文稿时使用。默认采用“一次生成、AI内部闭环审校、直接定稿”流程；保留人工框架确认模式作为可选高级模式。默认保持内置蓝白架构视觉身份，并通过智能视觉路由在 PowerPoint 原生精确视觉、蓝白架构视觉与材质解释视觉之间选择；配图必须从用户资料、页面结论、数据证据和业务场景中提取语义。,用户上传资料后，技能会自动执行： 识别 Excel、CSV、Word、PDF、PPT、TXT、Markdown、JSON 和图片。 统计样本量、合计、均值、中位数、最大值、最小值、标准差和缺失率。 分析趋势、分类结构、目标对比、Top/Bottom、相关性和异常值。 自动选择折线图、条形图、饼图、散点图或分布图。 提炼执行摘要、关键发现、数据限制和行动建议。 生成层次清晰的 16:9 PowerP,13,,,23695,0.613
95,ai-image-generation,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/ai-image-generation,single,,,13,57130,,,0.611
96,twitter-automation,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/twitter-automation,single,,,13,57039,,,0.61
97,ai-avatar-video,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/ai-avatar-video,single,,,13,56996,,,0.609
98,ai-video-generation,skills.sh,its-a-skill-issue,its-a-skill-issue/superpowers,,https://www.skills.sh/its-a-skill-issue/superpowers/ai-video-generation,single,,,13,56775,,,0.607
99,find-the-original-image,skills.sh,useosint,useosint/skills,,https://www.skills.sh/useosint/skills/find-the-original-image,single,,,27,56443,,,0.605
100,tshirt-design-showapi,skillhub-cn,昆明秀派科技有限公司,,,,single,根据班级名、主题关键词和风格，自动生成T恤正背面差异化图案设计及三人实穿效果图；适用于班服定制、团队文化衫设计、毕业季班服制作、社团周边定制场景,根据班级名、主题关键词和风格，自动生成T恤正背面差异化图案设计及三人实穿效果图；适用于班服定制、团队文化衫设计、毕业季班服制作、社团周边定制场景,9,,,22918,0.6
