rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,first_seen_days,installs_skillssh,downloads_clawhub,downloads_skillhub_cn,pop_score
88,lingyi-forbidden-word-detect-optimize,skillhub-cn,零一裂变（深圳）科技有限公司,,,single,【零一数科·出品】违禁词检测+优化（付费版）。把一份待发布文案按「法规合规层→平台规则层→内容质量层」三层结构做发布前质检，逐条问题用三栏对照（违规原句位置→违反条款→合规改法建议）+风险分级，给质检结论与修改记录。适用于违禁词检测+优化、内容审核、违禁词检测、发布前合规检查、新媒体文案合规、广告法自查、平台限流词排查。,【零一数科·出品】违禁词检测+优化（付费版）。把一份待发布文案按「法规合规层→平台规则层→内容质量层」三层结构做发布前质检，逐条问题用三栏对照（违规原句位置→违反条款→合规改法建议）+风险分级，给质检结论与修改记录。适用于违禁词检测+优化、内容审核、违禁词检测、发布前合规检查、新媒体文案合规、广告法自查、平台限流词排查。,1,,,9443,0.265
89,create-prd,skills.sh,phuryn,phuryn/pm-skills,,single,,,3,347,,,0.261
90,linear-release-setup,skills.sh,linear,linear/linear-release,,single,,,3,345,,,0.259
91,strategy-red-team,skills.sh,phuryn,phuryn/pm-skills,,single,,,3,342,,,0.257
92,prioritization-frameworks,skills.sh,phuryn,phuryn/pm-skills,,single,,,3,339,,,0.256
93,outcome-roadmap,skills.sh,phuryn,phuryn/pm-skills,,single,,,3,337,,,0.254
94,pre-mortem,skills.sh,phuryn,phuryn/pm-skills,,single,,,3,336,,,0.252
95,open-knowledge-discovery,skills.sh,inkeep,inkeep/open-knowledge-skills,,single,,,3,328,,,0.247
96,beatra-ai-image-studio,skillhub-cn,乐萱同行科技（深圳）有限公司,,,single,从文字描述、按顺序提供的一至四张参考图，或一张需要修改的原图出发，生成并完善图像。Beatra AI 图像工作室支持文生图、参考图创作和围绕指定部分进行的 AI 图片编辑，可用于产品图、广告创意、品牌视觉、海报、社交媒体配图、AI绘画、AI插画、概念图和照片背景修改。看到结果后，检查信息表达、主体是否符合要求、构图、风格、文字与发布场景，再选择最小有效的局部修改、重新构图或重新生成。,从文字描述、按顺序提供的一至四张参考图，或一张需要修改的原图出发，生成并完善图像。Beatra AI 图像工作室支持文生图、参考图创作和围绕指定部分进行的 AI 图片编辑，可用于产品图、广告创意、品牌视觉、海报、社交媒体配图、AI绘画、AI插画、概念图和照片背景修改。看到结果后，检查信息表达、主体是否符合要求、构图、风格、文字与发布场景，再选择最小有效的局部修改、重新构图或重新生成。,4,,,9188,0.242
97,ci-security-scanning-with-strix,skills.sh,usestrix,usestrix/strix,,single,,,4,309,,,0.235
98,managed-pentesting-with-strix,skills.sh,usestrix,usestrix/strix,,single,,,4,309,,,0.235
99,wecomcli-shared,skills.sh,wecomteam,wecomteam/wecom-cli,,single,,,4,299,,,0.231
100,blast-radius,skills.sh,cursor,cursor/plugins,,single,,,1,296,,,0.229
